country,estimated_revenue,playback_based_cpm
US,112.939,17.211
GB,33.227,15.843
DE,17.653,19.645
CA,17.567,11.94
NG,16.544,3.245
IN,16.233,1.201
AU,11.706,19.485
GH,11.447,2.367
NL,10.684,17.947
KE,9.827,2.085
UG,6.767,2.504
ZW,6.761,1.892
ZA,6.594,4.183
PH,5.643,2.036
FR,5.618,12.297
TZ,3.725,1.943
CH,3.578,33.88
NO,3.546,20.252
SE,3.329,20.292
IT,3.16,8.964
DK,2.933,22.142
SG,2.827,7.411
BD,2.664,1.016
BE,2.499,17.125
JP,2.483,11.69
PK,2.291,0.865
ES,2.176,12.596
IE,2.076,6.745
MY,1.607,2.149
ID,1.569,1.402
AE,1.466,4.698
NZ,1.326,14.712
NP,1.233,1.066
TH,1.214,4.028
HK,1.202,10.184
KR,1.172,9.048
PL,1.119,8.274
SA,1.014,3.963
FI,1.007,12.653
AT,0.885,12.508
KH,0.809,1.963
LK,0.746,2.049
TR,0.682,1.47
JO,0.592,4.544
QA,0.536,7.967
MX,0.531,2.293
IL,0.519,7.209
PT,0.509,7.931
CZ,0.474,7.237
RO,0.466,3.466
IQ,0.433,1.764
EG,0.412,1.135
BR,0.405,1.607
LB,0.381,2.173
TW,0.377,3.38
GR,0.373,4.768
PG,0.346,2.719
SK,0.335,8.557
HU,0.321,4.991
UA,0.267,2.566
SI,0.257,3.013
VN,0.232,1.783
EE,0.228,12.176
YE,0.223,3.593
SN,0.178,1.895
PE,0.173,2.457
LA,0.16,1.653
KZ,0.155,1.873
JM,0.147,2.414
CO,0.146,1.372
LT,0.117,3.517
GE,0.109,2.653
CY,0.106,3.259
OM,0.1,1.926
BG,0.098,2.734
TN,0.098,1.006
CR,0.097,8.381
IS,0.096,9.556
MA,0.088,1.184
HR,0.083,2.586
AZ,0.08,3.318
CL,0.08,2.345
PR,0.077,5.56
RS,0.074,2.345
EC,0.073,2.081
DZ,0.067,1.952
KW,0.066,2.174
LV,0.065,5.75
LU,0.059,3.452
RE,0.054,8.167
LY,0.044,2.077
AR,0.043,0.912
BH,0.041,2.114
GT,0.037,2.097
MT,0.035,10.667
DO,0.03,1.529
BA,0.028,2.0
HN,0.026,2.611
NI,0.024,2.588
VE,0.024,2.529
SV,0.023,1.783
BO,0.02,1.48
MD,0.017,3.444
MK,0.017,2.385
PA,0.013,1.714
GU,0.012,3.5
ME,0.01,1.133
KY,0.008,15.0
AW,0.004,2.0
PY,0.004,0.857
BM,0.003,5.0
BY,0.003,2.5
UY,0.003,0.714
SX,0.002,4.0
CW,0.001,0.667
EH,0.001,1.0
TC,0.001,0.75
GF,0.0,1.0
PF,0.0,1.0
RU,0.0,0.0
