traffic_source_detail,views,estimated_revenue
IN,38287,16.233
ET,28584,0.0
US,14217,112.939
KE,11724,9.827
GH,10718,11.447
ZW,10350,6.761
NG,8453,16.544
BD,8130,2.664
NP,6070,1.233
UG,3505,6.767
PK,3444,2.291
SO,3160,0.0
MW,2535,0.0
PH,2533,5.643
TZ,1975,3.725
ZM,1430,0.0
GB,1427,33.227
AF,1101,0.0
RW,744,0.0
ZA,708,6.594
CA,631,17.567
MY,231,1.607
SL,209,0.0
ID,155,1.569
DE,144,17.653
KH,144,0.809
LK,119,0.746
TN,91,0.098
SG,59,2.827
IQ,45,0.433
MM,44,0.0
LR,42,0.0
AU,40,11.706
NL,38,10.684
KZ,37,0.155
NA,37,0.0
IE,35,2.076
CM,31,0.0
SA,23,1.014
MZ,21,0.0
BR,15,0.405
RU,14,0.0
GM,12,0.0
AE,11,1.466
AZ,11,0.08
DZ,11,0.067
EG,11,0.412
LB,11,0.381
LS,11,0.0
MA,11,0.088
TL,11,0.0
TR,11,0.682
FI,10,1.007
IT,10,3.16
MX,10,0.531
SD,10,0.0
SS,10,0.0
AR,0,0.043
AT,0,0.885
AW,0,0.004
BA,0,0.028
BE,0,2.499
BG,0,0.098
BH,0,0.041
BM,0,0.003
BO,0,0.02
BY,0,0.003
CH,0,3.578
CL,0,0.08
CO,0,0.146
CR,0,0.097
CW,0,0.001
CY,0,0.106
CZ,0,0.474
DK,0,2.933
DO,0,0.03
EC,0,0.073
EE,0,0.228
EH,0,0.001
ES,0,2.176
FR,0,5.618
GE,0,0.109
GF,0,0.0
GR,0,0.373
GT,0,0.037
GU,0,0.012
HK,0,1.202
HN,0,0.026
HR,0,0.083
HU,0,0.321
IL,0,0.519
IS,0,0.096
JM,0,0.147
JO,0,0.592
JP,0,2.483
KR,0,1.172
KW,0,0.066
KY,0,0.008
LA,0,0.16
LT,0,0.117
LU,0,0.059
LV,0,0.065
LY,0,0.044
MD,0,0.017
ME,0,0.01
MK,0,0.017
MT,0,0.035
NI,0,0.024
NO,0,3.546
NZ,0,1.326
OM,0,0.1
PA,0,0.013
PE,0,0.173
PF,0,0.0
PG,0,0.346
PL,0,1.119
PR,0,0.077
PT,0,0.509
PY,0,0.004
QA,0,0.536
RE,0,0.054
RO,0,0.466
RS,0,0.074
SE,0,3.329
SI,0,0.257
SK,0,0.335
SN,0,0.178
SV,0,0.023
SX,0,0.002
TC,0,0.001
TH,0,1.214
TW,0,0.377
UA,0,0.267
UY,0,0.003
VE,0,0.024
VN,0,0.232
YE,0,0.223
